Date,Equity
2021-03-12,310714.11772851925
2021-03-19,304782.39181565214
2021-03-26,299889.41489822295
2021-04-02,307332.22828980023
2021-04-09,306660.400581308
2021-04-16,302174.65865076025
2021-04-23,296458.95522312674
2021-04-30,302448.55763960705
2021-05-07,306418.5587559554
2021-05-14,303413.92641508195
2021-05-21,313698.05826046225
2021-05-28,319079.927108308
2021-06-04,323929.4815076793
2021-06-11,326598.179807176
2021-06-18,324200.27167840383
2021-06-25,327859.14873696124
2021-07-02,325003.3762976029
2021-07-09,324333.6076764384
2021-07-16,329162.5106411406
2021-07-23,327770.2648006484
2021-07-30,325847.80397327075
2021-08-06,335669.93314627866
2021-08-13,341683.2958155503
2021-08-20,340058.5144169415
2021-08-27,345323.56033963565
2021-09-03,358106.8993354591
2021-09-10,359050.5669454704
2021-09-17,363513.5781668907
2021-09-24,369054.5821657594
2021-10-01,362415.92312417575
2021-10-08,369922.79028134927
2021-10-15,379087.58610568166
2021-10-22,374464.36981531326
2021-10-29,365301.67345256987
2021-11-05,370369.3296116332
2021-11-12,374213.20153559395
2021-11-19,367227.2430980698
2021-11-26,351964.31884280837
2021-12-03,355483.6624542174
2021-12-10,361986.9869718307
2021-12-17,351111.6144435683
2021-12-24,351495.0891776584
2021-12-31,358736.37444381864
2022-01-07,368217.3814828692
2022-01-14,377375.9596709572
2022-01-21,364175.0700644831
2022-01-28,353525.0262886903
2022-02-04,362090.34508082963
2022-02-11,359164.2608653691
2022-02-18,357129.15584888734
2022-02-25,344356.15266396373
2022-03-04,335817.7231298686
2022-03-11,343778.3566101036
2022-03-18,357351.37578323466
2022-03-25,354580.3287312724
2022-04-01,365276.8432818534
2022-04-08,367631.34907969827
2022-04-15,361250.0355798171
2022-04-22,354972.03981467336
2022-04-29,353537.4615611791
2022-05-06,339247.15326130093
2022-05-13,326242.64406192454
2022-05-20,336247.7090130081
2022-05-27,338031.6659369012
2022-06-03,342824.39356345386
2022-06-10,334917.47803791525
2022-06-17,316141.44799461996
2022-06-24,324528.9585398723
2022-07-01,325620.41613347345
2022-07-08,335306.10049032455
2022-07-15,331762.9966261242
2022-07-22,345618.13095028227
2022-07-29,354688.8547457212
2022-08-05,359634.5402613136
2022-08-12,365849.47143026354
2022-08-19,367095.9460002323
2022-08-26,362970.9480946471
2022-09-02,362568.860826085
2022-09-09,368644.25854788657
2022-09-16,362391.0929534593
2022-09-23,358184.4179172083
2022-09-30,353367.93003786437
2022-10-07,357921.90447005583
2022-10-14,355256.27461442014
2022-10-21,363330.6423888152
2022-10-28,367682.0187776646
2022-11-04,374510.88096436276
2022-11-11,379318.04238934
2022-11-18,378448.8249172169
2022-11-25,382688.5664734953
2022-12-02,386478.70025562885
2022-12-09,382354.71170657687
2022-12-16,377649.85865980387
2022-12-23,368095.4512136596
2022-12-30,374265.93032088777
2023-01-06,369183.7798020079
2023-01-13,371192.0359347068
2023-01-20,372660.77081328427
2023-01-27,363910.4571557416
2023-02-03,369072.1853436983
2023-02-10,369122.81466740323
2023-02-17,370935.6997495376
2023-02-24,361046.4281799418
2023-03-03,363703.7409377441
2023-03-10,359952.89131188224
2023-03-17,353485.78250667977
2023-03-24,350281.6811277171
2023-03-31,358854.18653837277
2023-04-07,363802.98087208736
2023-04-14,368533.67344611004
2023-04-21,364317.7123297536
2023-04-28,373432.847812653
2023-05-05,373515.5342998521
2023-05-12,378596.63508793747
2023-05-19,376293.808344592
2023-05-26,382411.5586665263
2023-06-02,383129.89752406796
2023-06-09,383735.5921925054
2023-06-16,389163.95200227003
2023-06-23,385846.15670340863
2023-06-30,396668.80044637714
2023-07-07,399619.67445829284
2023-07-14,404429.9447013923
2023-07-21,408161.17243624886
2023-07-28,406115.73160886724
2023-08-04,403448.04266590375
2023-08-11,401614.4859619696
2023-08-18,399172.1257714758
2023-08-25,398255.3474195087
2023-09-01,401759.187314568
2023-09-08,409710.49434043636
2023-09-15,417408.61437351897
2023-09-22,406698.65519391594
2023-09-29,405955.5265399191
2023-10-06,406269.7190415709
2023-10-13,408286.251897842
2023-10-20,403978.2778399199
2023-10-27,393737.54832546687
2023-11-03,397527.6821076005
2023-11-10,401553.4804531036
2023-11-17,407888.32317819673
2023-11-24,409188.53588999255
2023-12-01,418970.3715501955
2023-12-08,433471.5142427267
2023-12-15,443543.7619646595
2023-12-22,441326.7305266353
2023-12-29,449223.2900541434
2024-01-05,448797.46271992056
2024-01-12,452595.87322562636
2024-01-19,446970.0832779696
2024-01-26,441392.86356669
2024-02-02,451753.5046372862
2024-02-09,450279.6018532588
2024-02-16,455616.9984522521
2024-02-23,459172.5174018107
2024-03-01,461778.19147937483
2024-03-08,464978.1746836821
2024-03-15,455258.35388887837
2024-03-22,456775.65900383296
2024-03-29,461533.2408358998
2024-04-05,465394.67556353804
2024-04-12,465512.5280323535
2024-04-19,457814.4079992708
2024-04-26,463456.71101981064
2024-05-03,464612.26275326946
2024-05-10,455916.7369683483
2024-05-17,464410.7144407218
2024-05-24,474560.4807444036
2024-05-31,465746.09313413396
2024-06-07,481445.180534518
2024-06-14,485072.00042958127
2024-06-21,485805.84300347266
2024-06-28,496338.03431045
2024-07-05,502813.4198392246
2024-07-12,506499.1861558262
2024-07-19,507093.4952825693
2024-07-26,513376.6185789016
2024-08-02,510954.9300102075
2024-08-09,503715.7442056364
2024-08-16,507305.3794060168
2024-08-23,513134.7767535488
2024-08-30,521666.9886513995
2024-09-06,513734.25378574186
2024-09-13,524159.9781655982
2024-09-20,533140.7481067991
2024-09-27,541161.3373651056
2024-10-04,517092.3425974081
2024-10-11,516051.53451464255
2024-10-18,513773.5379420135
2024-10-25,499856.36856532557
2024-11-01,502410.323214129
2024-11-08,499182.4413952443
2024-11-15,486459.0581774924
2024-11-22,494201.63027229684
2024-11-29,498828.96473732067
2024-12-06,510130.1645998059
2024-12-13,512000.94637268403
2024-12-20,487591.8792018236
2024-12-27,492261.6066412416
2025-01-03,496217.11339777324
2025-01-10,484367.1062010612
2025-01-17,479647.7587944716
2025-01-24,477353.2087746983
2025-01-31,485956.76199231495
2025-02-07,487022.35987153574
2025-02-14,473984.78415213205
2025-02-21,471228.2314599864
2025-02-28,457353.41468343115
2025-03-07,466196.75063907274
2025-03-14,462986.4316238656
2025-03-21,482690.6457479531
2025-03-28,486183.10010131786
2025-04-04,473472.11178179353
2025-04-11,471903.1679866009
2025-04-18,493052.29617508245
2025-04-25,496932.3434371928
2025-05-02,503285.7583224966
2025-05-09,496284.2961686227
2025-05-16,517199.85925532377
2025-05-23,513754.9254075417
2025-05-30,511637.09352959954
